train_loss,val_loss,train_acc,val_acc,train_prec,val_prec,train_rec,val_rec,train_f1,val_f1,train_dice,val_dice
1.233331104305303,1.09607111780267,0.9406034701338438,0.972430053510164,0.2838377351393906,0.38214181285155446,0.8455595045446236,0.8536530137062073,0.4170853353375308,0.5279183199531153,0.4170856800487387,0.5279187371856288
1.0116033147428638,0.9423998531542326,0.9766224299635843,0.978361819919787,0.42926873976939195,0.45219425935494273,0.8927002649440944,0.9357989712765342,0.5792399566864299,0.6097199603130943,0.5792403716907323,0.6097203869568674
0.8719979702869308,0.7836640759518272,0.9819524822948135,0.9860166750456157,0.5002865100575384,0.5707461206536544,0.8977290859846311,0.9119637200706884,0.6419909345769437,0.7020619323379115,0.6419913713063035,0.7020623872154638
0.7056408858744898,0.6570872162517748,0.9867748256041625,0.9868050405853673,0.587619194360537,0.5966229093702216,0.8914187439134188,0.8315610164090207,0.707858797545745,0.6947418514050936,0.7078592487584765,0.694742312556819
0.5438247339747776,0.47171747213915777,0.9898940157667498,0.9911692393453497,0.6673473253428379,0.7063303181999608,0.8761634108062103,0.8746780188460099,0.7572452726765214,0.7815162131660863,0.75724573948673,0.7815166868661579
0.4332620618499328,0.40691590152288737,0.991095228729961,0.9914426552621942,0.7092247337938469,0.7380113193863317,0.8574691682218392,0.816312871481243,0.7759700579063915,0.7751731527479071,0.7759705330723914,0.7751736264479788
0.3556727301851611,0.30009268930083827,0.992104804404428,0.9932193254169664,0.7452920513732411,0.7624296796949286,0.8528572683022401,0.9076525725816426,0.7952450023633297,0.8287110987462496,0.7952454714017494,0.8287115849946675
0.2988818978594842,0.2699307579743235,0.9930417114329115,0.9937426322384885,0.7787425278503204,0.8057630501295391,0.8567003958693175,0.8613531871845848,0.8156702050538821,0.8326164766361839,0.815670684676304,0.8326169660216883
0.26337739491017065,0.2862116600337781,0.993557838636024,0.9924243845437702,0.7975295626114463,0.764327281399777,0.8598342214789346,0.8394739659209001,0.827437014780312,0.8001256930200678,0.8274374910604174,0.8001261635830528
0.2432359731364473,0.21872223678388095,0.9937678386117811,0.9942628615780881,0.8067550224678539,0.8050626139891776,0.8594450599679323,0.9005769899016932,0.8321694469897547,0.8501350565960533,0.8321699282833349,0.8501355428444711
0.22969168382827368,0.2904724298339141,0.9939135301893003,0.9918625480250308,0.8124267442204128,0.7598892199365717,0.8599331991694797,0.8031691124564723,0.8354272847977754,0.780919256963228,0.8354277577355643,0.7809197463487324
0.21686880457624097,0.22222810748376345,0.9941184609849877,0.9939727814573991,0.8193698252472922,0.8242133040177194,0.8628148469969491,0.8473177677706668,0.8404198177506991,0.8355909836919684,0.840420290688488,0.8355914668032998
0.20429987662306456,0.17923871466988012,0.9943775105699201,0.9950496679858157,0.8287849476404279,0.8379231126684892,0.8661753540841218,0.9001771305736742,0.8469813739027933,0.867927328536385,0.846981856310479,0.8679277959622835
0.19351909790083627,0.1767053517856096,0.9946060470331495,0.9951396082576952,0.8359671045686597,0.8532530916364569,0.8707260634297522,0.8829791232159263,0.8529098050616611,0.8678523239336515,0.8529102857981887,0.8678527882224635
0.19009394693040402,0.19454705715179443,0.9946171346111833,0.9943658929122122,0.8365455915994733,0.8219366983363503,0.8706844215081117,0.8785149580553958,0.8532088677459788,0.8492745098314787,0.8532093473684008,0.8492749803944638
