,"Normal
(<10°)","Mild
(10-25°)","Severe
(25-45°)","Very Severe
(>45°)"
"Normal
(<10°)",87,19,1,0
"Mild
(10-25°)",69,24,1,0
"Severe
(25-45°)",1,8,92,4
"Very Severe
(>45°)",0,0,3,90
