train_loss,val_loss,train_class_loss,train_reg_loss,train_mae,val_mae,train_f1,val_f1,lr,epoch_time,train_accuracy,val_accuracy
1.4394852995872498,1.412173216159527,1.4394852995872498,23.48505100250244,23.98078727722168,23.141725540161133,0.25495633522846867,0.1269307260795056,0.001,71.034095287323,0.25753768844221103,0.2531328320802005
1.403922016620636,1.3127233798687274,1.403922016620636,23.455980644226074,23.928180694580078,23.06791877746582,0.28494870439507414,0.2653641675698147,0.001,72.24701404571533,0.28957286432160806,0.3458646616541353
1.380745313167572,1.3308839339476366,1.380745313167572,23.246601638793944,23.74083709716797,22.788118362426758,0.2912401564147688,0.2952672498093738,0.001,73.64746451377869,0.2989949748743719,0.3483709273182957
1.3514117884635926,1.2945542060411894,1.3514117884635926,23.035767974853517,23.545854568481445,22.921754837036133,0.30931296249390783,0.30404244759352805,0.001,73.85842370986938,0.31595477386934673,0.37092731829573933
1.3297841763496399,1.2994463810553918,1.3297841763496399,23.121835823059083,23.63808250427246,22.675289154052734,0.31761535433195126,0.3070476928611294,0.001,73.27184414863586,0.3278894472361809,0.3408521303258145
1.31916743516922,1.3377537360558143,1.31916743516922,23.086013984680175,23.583786010742188,22.773509979248047,0.3368692906121638,0.22074713653661024,0.001,73.16736173629761,0.35175879396984927,0.3233082706766917
1.3184425854682922,1.281980431996859,1.3184425854682922,23.188606834411623,23.64652442932129,22.882930755615234,0.34313885886623163,0.33885981210956134,0.001,73.4782030582428,0.3454773869346734,0.41102756892230574
1.2993912386894226,1.2899540387667143,1.2993912386894226,23.153586502075196,23.655385971069336,22.884490966796875,0.3293055697262961,0.2851611046660543,0.001,73.46019577980042,0.3492462311557789,0.3609022556390977
1.310881543159485,1.2862785229316125,1.310881543159485,23.209520950317383,23.696640014648438,22.86300277709961,0.33113179123000475,0.2616745128482098,0.001,73.13886904716492,0.34296482412060303,0.3634085213032581
1.2897712516784667,1.2480399425213153,1.2897712516784667,23.34922275543213,23.834362030029297,22.852781295776367,0.35137986963931683,0.3762803103783149,0.001,72.7746810913086,0.36683417085427134,0.42857142857142855
1.292429597377777,1.244863592661344,1.292429597377777,23.314878082275392,23.815101623535156,22.86835289001465,0.3448655805721863,0.3749589080812856,0.001,73.26024079322815,0.3611809045226131,0.42105263157894735
1.2784765720367433,1.2420716010607207,1.2784765720367433,23.385667304992676,23.879961013793945,23.012096405029297,0.3614796670479995,0.3531371801222946,0.001,73.5432391166687,0.3756281407035176,0.41854636591478694
1.2513096857070922,1.2273870339760413,1.2513096857070922,23.37070697784424,23.89855194091797,22.900997161865234,0.3735130503950834,0.35022144521325216,0.001,73.45575213432312,0.38819095477386933,0.41604010025062654
1.2615145301818849,1.2220046978730421,1.2615145301818849,23.281598892211914,23.74915313720703,22.826662063598633,0.3742556685333607,0.3692631052803536,0.001,72.81469535827637,0.3844221105527638,0.43358395989974935
1.2449420380592346,1.1981675258049598,1.2449420380592346,23.34848129272461,23.848905563354492,22.875396728515625,0.3617352547074129,0.3581186450193126,0.001,73.5702211856842,0.38190954773869346,0.42105263157894735
1.2262082171440125,1.1946145387796254,1.2262082171440125,23.301108055114746,23.805566787719727,22.82741928100586,0.3824852426995484,0.3578813116025278,0.001,73.40618228912354,0.4108040201005025,0.40852130325814534
1.2249768471717835,1.206512607060946,1.2249768471717835,23.255569286346436,23.7308292388916,22.67840576171875,0.3772989730803946,0.3737542394258483,0.001,73.33809185028076,0.3944723618090452,0.41604010025062654
1.21942081451416,1.211647996535668,1.21942081451416,23.309991455078126,23.78760528564453,22.828012466430664,0.3910609278766058,0.35931204837022007,0.001,73.52187204360962,0.40326633165829145,0.41102756892230574
1.1970003867149352,1.1808229042933538,1.1970003867149352,23.441044273376466,23.914670944213867,22.75027084350586,0.3791538853567811,0.34836180100341063,0.001,73.46064734458923,0.40326633165829145,0.42105263157894735
1.1777593839168548,1.1970861783394446,1.1777593839168548,23.361419258117675,23.856435775756836,22.807268142700195,0.3997291773429861,0.3678320168021574,0.001,73.29943227767944,0.41959798994974873,0.43859649122807015
1.136291003227234,1.0904353123444777,1.136291003227234,23.395374145507812,23.898746490478516,22.932144165039062,0.4028299192867512,0.41484610430316066,0.001,73.70184898376465,0.42085427135678394,0.49373433583959897
1.0678390085697174,1.9265923408361583,1.0678390085697174,23.514795227050783,24.010854721069336,22.5247745513916,0.4501520660196632,0.3104823645014143,0.001,73.48159742355347,0.47613065326633164,0.37092731829573933
0.9834728848934173,0.8411550109203045,0.9834728848934173,23.633820724487304,24.13045883178711,23.143644332885742,0.5010867434029324,0.5390999036081615,0.001,73.59428977966309,0.5113065326633166,0.5964912280701754
0.9365971457958221,0.9623108001855704,0.9365971457958221,23.89256591796875,24.38193130493164,24.063934326171875,0.5230060988897087,0.438515448333542,0.001,73.10352373123169,0.5326633165829145,0.506265664160401
0.9048673367500305,0.7873013340509855,0.9048673367500305,23.91451747894287,24.430431365966797,23.890756607055664,0.5395244247596482,0.564007552235958,0.001,73.81122756004333,0.5420854271356784,0.6140350877192983
0.8516306781768799,1.22127261528602,0.8516306781768799,24.090198936462404,24.596155166625977,22.962602615356445,0.568796970154706,0.3464894153329253,0.001,73.381915807724,0.5760050251256281,0.38095238095238093
0.8467756497859955,0.7469025621047387,0.8467756497859955,24.222068672180175,24.746122360229492,24.2047176361084,0.5603120382074519,0.5789127094371576,0.001,73.70857429504395,0.5653266331658291,0.6240601503759399
0.8170741701126099,1.1350587927378142,0.8170741701126099,24.0318825340271,24.533803939819336,24.516931533813477,0.5763311923633011,0.3903328203097877,0.001,74.0824682712555,0.5797738693467337,0.46115288220551376
