epoch,train_loss,val_loss,train_mae,val_mae,val_pixel_err,learning_rate,epoch_time
1,191.26764284066817,186.25995075732544,0,0,92.20376363194974,2.08e-05,148.31792163848877
2,134.20048304418822,92.38704417522689,0,0,45.395105510128474,4.06e-05,164.8190438747406
3,79.32717933846479,63.421697812570365,0,0,30.997662957748375,6.04e-05,157.66790008544922
4,58.83384447720782,50.35113468982821,0,0,24.527226149288932,8.02e-05,156.3528561592102
5,43.39417034896774,35.53751079779221,0,0,17.15714323192013,0.0001,155.98096323013306
6,39.024957283058356,32.193451467910805,0,0,15.503919682705911,9.987820251299122e-05,156.07121467590332
7,38.7000750728588,28.673843292962935,0,0,13.748120525427032,9.951340343707852e-05,155.11368894577026
8,32.20376305124868,27.202536179009535,0,0,13.02470546617245,9.890738003669029e-05,147.3383605480194
9,29.799192840729525,23.784876003600004,0,0,11.322824344300388,9.806308479691595e-05,139.23866963386536
10,29.881086378241303,21.804477643847168,0,0,10.33193762260571,9.698463103929544e-05,138.43842267990112
11,29.424169454143275,30.43695099909503,0,0,14.651609659792486,9.567727288213005e-05,157.98647046089172
12,26.284547719524134,19.84957448342689,0,0,9.360286288392873,9.414737964294636e-05,146.56675171852112
13,29.911563221533694,23.732099872483943,0,0,11.311158433593903,9.24024048078213e-05,137.82274293899536
14,25.127291042002003,16.1112929370469,0,0,7.493195856424203,9.045084971874738e-05,146.43829917907715
15,24.214251916013172,24.175026040328177,0,0,11.526497059298638,8.830222215594889e-05,145.75559782981873
16,26.800490096585836,19.52133876159974,0,0,9.204036946882281,8.596699001693255e-05,137.80287528038025
17,25.26334087812721,19.438556140526792,0,0,9.161686139596734,8.34565303179429e-05,139.6586172580719
18,25.766799562540484,17.452617841256888,0,0,8.173416990982858,8.07830737662829e-05,146.409925699234
19,21.275933586772364,19.881836606745136,0,0,9.384636398544885,7.795964517353733e-05,138.81765604019165
20,21.769870930580637,15.189505548405467,0,0,7.039404591820891,7.5e-05,147.92240810394287
21,21.121861175077047,15.416675192371645,0,0,7.158689497706287,7.191855733945387e-05,146.1226453781128
22,24.964299762668322,14.204416853443423,0,0,6.54999313736918,6.87303296707956e-05,139.85012650489807
23,22.25343533616569,15.39109616291553,0,0,7.144319766147394,6.545084971874738e-05,138.24187970161438
24,22.082243751640895,15.586491878767658,0,0,7.244682297670751,6.20960947799834e-05,138.7175087928772
25,20.467531558856294,18.775729076605394,0,0,8.840883145057468,5.868240888334654e-05,146.31261372566223
26,21.345443763924603,19.449384612845897,0,0,9.183438826921888,5.522642316338269e-05,139.36869192123413
27,22.317405892376925,16.517660633364418,0,0,7.713740326109386,5.174497483512507e-05,145.64321970939636
28,21.324329778776697,18.77826418673484,0,0,8.847384967899561,4.8255025164874976e-05,147.86799454689026
29,25.844561111986938,16.19988070514268,0,0,7.558176329858918,4.4773576836617344e-05,138.58618116378784
30,18.251959920528545,18.711266527199804,0,0,8.818246720727524,4.1317591116653494e-05,138.4642345905304
31,22.918584468975737,15.310544174117851,0,0,7.116808698888411,3.790390522001661e-05,138.66080236434937
32,20.88536724493132,15.097126403846836,0,0,7.010683929711058,3.4549150281252636e-05,138.21346735954285
33,17.696116222209067,16.172031330883055,0,0,7.5470831376269345,3.12696703292044e-05,138.8655936717987
34,18.67712178062554,14.164253285056667,0,0,6.5436962684593105,2.8081442660546125e-05,138.09735822677612
35,16.681604279944644,16.02352588099047,0,0,7.476843661831734,2.500000000000001e-05,137.21782851219177
36,16.003191521419353,14.640327826478428,0,0,6.782005489320683,2.2040354826462665e-05,137.51083660125732
37,17.46528292900354,18.167905078495952,0,0,8.547992484013838,1.9216926233717085e-05,137.8036437034607
38,17.839229085337575,16.020954571869737,0,0,7.4744211832682295,1.6543469682057086e-05,145.62492179870605
39,16.015467015942136,16.15379307682353,0,0,7.543509684110942,1.4033009983067439e-05,146.06153774261475
40,17.10814176971589,15.760861301183104,0,0,7.351680213048644,1.1697777844051104e-05,138.27960729599
41,15.11503507144487,15.473745126174506,0,0,7.204843721891704,9.549150281252631e-06,138.29394483566284
42,16.459070766391466,15.451326284193454,0,0,7.1935243534862545,7.5975951921787005e-06,138.43828535079956
43,15.118351308544677,15.745182895421385,0,0,7.342238099951493,5.852620357053661e-06,138.4944293498993
44,15.398461279557578,15.413571384018823,0,0,7.176529571227262,4.322727117869962e-06,139.1182985305786
45,14.47812665047957,15.588393548377475,0,0,7.263909664966707,3.015368960704584e-06,139.15096497535706
46,25.907829572207962,15.209391782755839,0,0,7.073984248895095,1.936915203084066e-06,138.42600965499878
47,21.585391317779695,15.520130004500386,0,0,7.229285135006247,1.0926199633097155e-06,138.12506651878357
48,14.633112595908006,15.059734851196595,0,0,6.99818445984881,4.865965629214874e-07,137.70143842697144
49,17.772923028648798,15.101233764399861,0,0,7.019131392763372,1.2179748700879012e-07,137.1147575378418
50,17.713317583553756,15.174726708491045,0,0,7.056292983224816,0.0,138.17449975013733
